OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP_put,IV,VOLUME,CHNG IN OI,OI
"2,445",-17,324,-,693.95,-46.6,150,692.8,699.75,150,"18,700.00","1,400",3.35,3.7,700,-1.15,3.45,13.96,"1,57,134","42,002","60,702"
174,-5,47,-,638.8,-46.2,450,643.6,654.5,350,"18,750.00",300,4.05,4.8,"1,400",-0.3,4.8,13.53,"42,309","3,374","8,225"
"2,288",182,"1,385",-,596.15,-41.95,250,595.5,601.15,150,"18,800.00","3,050",5,5.45,650,-0.65,5,13.13,"2,07,951","32,615","71,601"
447,4,77,-,539.6,-47.15,50,546.45,552.6,50,"18,850.00",50,6,6.75,"1,650",-0.65,6.2,12.76,"53,788","8,384","12,883"
"2,911",89,"1,273",-,500.3,-37,400,496.45,504.35,100,"18,900.00",250,7.75,8.05,"1,550",-0.45,7.75,12.38,"2,08,283","24,622","54,683"
228,-21,166,-,454.6,-35.4,50,450.6,498.4,"4,950","18,950.00",50,9.95,10.6,50,0.1,10,12.02,"80,388","10,858","21,942"
"16,323","1,782","17,226",-,407,-35.7,50,404.05,408.85,50,"19,000.00","6,850",13.15,13.6,"1,800",0.9,13.3,11.77,"3,13,488","25,452","1,29,485"
340,-65,481,-,359.95,-37.55,600,356.85,369.65,150,"19,050.00",150,16.5,17.15,50,1.9,17.1,11.43,"91,579","3,329","15,671"
"3,126",76,"6,696",-,313.1,-39.25,50,313.2,315.8,"1,000","19,100.00",200,21.7,22.2,600,2.75,22.15,11.14,"2,75,815","7,887","50,943"
947,312,"1,815",6.64,274.55,-32.2,150,271,274.3,250,"19,150.00","9,100",28.5,29,100,3.5,28.5,10.89,"1,36,149","5,613","21,862"
"10,793","2,972","33,233",7.42,231,-34.55,50,230,231.7,50,"19,200.00",800,36.9,37.75,50,5.15,37.5,10.72,"4,34,198","25,751","83,533"
"3,684","1,046","11,929",7.82,185.15,-42,250,189.4,194.85,50,"19,250.00",200,48.05,49,600,7.1,49,10.58,"2,18,636","18,127","32,016"
"37,318","9,397","1,24,799",8.12,159.95,-27.05,50,157.05,160,"1,100","19,300.00","17,050",63.7,64.55,"1,300",10,64.55,10.54,"5,79,995","20,949","93,301"
"16,004","7,193","84,132",8.26,127.65,-25.45,300,125.7,127.7,100,"19,350.00",700,81.15,83,"6,550",11.8,81.15,10.5,"2,92,722","9,730","28,597"
"1,11,961","57,486","5,74,084",8.3,98,-23.35,100,97.8,98,"3,950","19,400.00",750,102.75,104.9,750,16.55,105,10.46,"8,84,886","38,874","1,16,036"
"58,972","37,969","4,00,671",8.34,74,-20.6,"2,300",74,74.5,"1,700","19,450.00",50,128.95,130,50,18.1,129.8,10.51,"4,47,055","13,285","29,500"
